"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,http://servicesartisans.fr/,,text/plain,false,308,0,https://servicesartisans.fr/,200,false,0,0,
0,http://www.servicesartisans.fr/,,text/plain,false,308,0,https://www.servicesartisans.fr/https://servicesartisans.fr/,301200,false,0,0,
