"Month, Organic keywords: 1–3, Organic keywords: 4–10, Organic keywords: 11–20, Organic keywords: 21–50, Organic keywords: 51+"
"2025-11, 0, 0, 0, 0, 0"
"2025-12, 0, 0, 0, 0, 0"
"2026-01, 0, 0, 0, 0, 0"
"2026-02, 0, 7, 1, 6, 12"
"2026-03, 16, 77, 26, 24, 61"
"2026-04, 24, 114, 44, 25, 46"
