TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-04-30 19:22:46,1777576966226,servicesartisans.fr/services/chauffagiste/villeferry,GET,nxtPservice=chauffagiste&nxtPlocation=villeferry,200,2lwzw-1777576966226-b9befc15af33,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,547,cdg1,131,2048,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,hvc_1d67a7ea74d04aa99b410ea45e91,hvc_1d67a7ea74d04aa99b410ea45e91,1,,
2026-04-30 19:22:38,1777576958245,servicesartisans-daw99au96-servicesartisans.vercel.app/api/cron/prospection-process,GET,,200,p6dnk-1777576958100-1ff0ddf9c85c,vercel-cron/1.0,error,production,master,BYPASS,middleware,/api/cron/prospection-process,servicesartisans-daw99au96-servicesartisans.vercel.app,servicesartisans-daw99au96-servicesartisans.vercel.app,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:38.244Z] [ERROR] [UpstashRateLimiter] Circuit breaker opened {""consecutiveFailures"":6,""cooldownMs"":30000}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:38,1777576958245,servicesartisans-daw99au96-servicesartisans.vercel.app/api/cron/prospection-process,GET,,200,p6dnk-1777576958100-1ff0ddf9c85c,vercel-cron/1.0,error,production,master,BYPASS,middleware,/api/cron/prospection-process,servicesartisans-daw99au96-servicesartisans.vercel.app,servicesartisans-daw99au96-servicesartisans.vercel.app,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:38.244Z] [ERROR] [UpstashRateLimiter] Redis unavailable {""key"":""44.202.41.3:/api/cron/prospection-process"",""failOpen"":true,""consecutiveFailures"":6}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:38,1777576958100,servicesartisans-daw99au96-servicesartisans.vercel.app/api/cron/prospection-process,GET,,200,p6dnk-1777576958100-1ff0ddf9c85c,vercel-cron/1.0,,production,master,BYPASS,function,/api/cron/prospection-process,servicesartisans-daw99au96-servicesartisans.vercel.app,servicesartisans-daw99au96-servicesartisans.vercel.app,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,251,cdg1,371,2048,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,01KQFXFPAS2MEF0XZ5CKCDKERS,Tm7ZvPvBWPkK,1,,
2026-04-30 19:22:38,1777576958100,servicesartisans-daw99au96-servicesartisans.vercel.app/api/cron/prospection-process,GET,,200,p6dnk-1777576958100-1ff0ddf9c85c,vercel-cron/1.0,,production,master,BYPASS,middleware,src/middleware,servicesartisans-daw99au96-servicesartisans.vercel.app,servicesartisans-daw99au96-servicesartisans.vercel.app,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,122,iad1,295,2048,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,01KQFXFP5689HP1VA7W4PSDBK9,W9UDtsWtsmCC,1,,
2026-04-30 19:22:38,1777576958100,servicesartisans-daw99au96-servicesartisans.vercel.app/api/cron/prospection-process,GET,,200,p6dnk-1777576958100-1ff0ddf9c85c,vercel-cron/1.0,,production,master,BYPASS,static,/api/cron/prospection-process,servicesartisans-daw99au96-servicesartisans.vercel.app,servicesartisans-daw99au96-servicesartisans.vercel.app,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,510,iad1,,,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:29,1777576949496,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:02.585Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949621,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.620Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949687,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.687Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949721,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.721Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
