organisme,nb_artisans,with_email
qualibat,53130,53007
qualitenr,24714,24699
qualifelec,2006,2001
opqibi,1840,1833
Non renseigné,362,362
cerqual,55,55
certibat,31,30
afnor,30,30
cnoa,22,22
Inconnu,9,9
lne,8,6
opqtecc,6,6
